2018,Washington Redskins,15,2,2,0,0.0,0,0,--,--,--,0.0,--
2017,Kansas City Chiefs,15,2,2,0,0.0,0,0,--,--,--,0.0,--
2016,Kansas City Chiefs,15,2,2,0,0.0,0,0,--,--,--,0.0,--
2015,Kansas City Chiefs,16,2,2,0,0.0,0,0,--,--,--,0.0,--
2014,Kansas City Chiefs,15,2,2,0,0.0,0,0,--,--,--,0.0,--
2013,Kansas City Chiefs,15,1,1,0,0.0,0,0,--,--,--,0.0,--
2012,San Francisco 49ers,10,0,--,--,--,--,--,--,--,--,0.0,--
2011,San Francisco 49ers,16,1,1,0,0.0,0,0,--,--,--,0.0,--
2010,San Francisco 49ers,11,0,--,--,--,--,--,--,--,--,0.0,--
2009,San Francisco 49ers,11,1,1,0,0.0,--,0,--,--,--,0.0,--
2008,San Francisco 49ers,0,0,--,--,--,--,--,--,--,--,0.0,--
2007,San Francisco 49ers,7,1,1,0,0.0,--,0,--,--,--,0.0,--
2006,San Francisco 49ers,16,3,3,0,0.0,0,0,--,--,--,0.0,--
2005,San Francisco 49ers,9,0,--,--,--,--,--,--,--,--,0.0,--
