id,home,away,home_score,away_score,week,season,seasontype
400944346,DAL,ARI,18,20,1,2017,1
400951824,CAR,HOU,17,27,2,2017,1
400951829,BUF,MIN,10,17,2,2017,1
400951801,MIA,ATL,20,23,2,2017,1
400951794,NE,JAX,24,31,2,2017,1
400951441,BAL,WSH,3,23,2,2017,1
400951835,CHI,DEN,17,24,2,2017,1
400951820,CLE,NO,14,20,2,2017,1
400951826,GB,PHI,9,24,2,2017,1
400951266,NYG,PIT,12,20,2,2017,1
400951251,CIN,TB,12,23,2,2017,1
400951832,KC,SF,17,27,2,2017,1
400952014,NYJ,TEN,3,7,2,2017,1
400951838,LAR,DAL,10,13,2,2017,1
400951797,ARI,OAK,10,20,2,2017,1
400951270,IND,DET,10,24,2,2017,1
400951839,LAC,SEA,17,48,2,2017,1
400951802,MIA,BAL,7,31,3,2017,1
400951827,PHI,BUF,16,20,3,2017,1
400950229,JAX,TB,8,12,3,2017,1
400951837,SEA,MIN,13,20,3,2017,1
400952008,TEN,CAR,27,34,3,2017,1
400951252,CIN,KC,12,30,3,2017,1
400951271,DAL,IND,19,24,3,2017,1
400951830,DET,NYJ,6,16,3,2017,1
400951823,WSH,GB,17,21,3,2017,1
400951795,HOU,NE,23,27,3,2017,1
400953265,OAK,LAR,21,24,3,2017,1
400951798,ARI,CHI,23,24,3,2017,1
400951833,SF,DEN,14,33,3,2017,1
400951267,PIT,ATL,13,17,3,2017,1
400951840,LAC,NO,7,13,3,2017,1
400950230,CLE,NYG,6,10,3,2017,1
400951803,PHI,MIA,31,38,4,2017,1
400951804,JAX,CAR,23,24,4,2017,1
400951796,DET,NE,28,30,4,2017,1
400950231,SEA,KC,13,26,4,2017,1
400951799,ATL,ARI,14,24,4,2017,1
400951819,NYG,NYJ,31,32,4,2017,1
400951805,BAL,BUF,9,13,4,2017,1
400951268,PIT,IND,15,19,4,2017,1
400951821,TB,CLE,9,13,4,2017,1
400953306,DAL,OAK,20,24,4,2017,1
400950232,LAR,LAC,19,21,4,2017,1
400951836,NO,HOU,0,13,4,2017,1
400951834,DEN,GB,17,20,4,2017,1
400950233,TEN,CHI,7,19,4,2017,1
400950234,WSH,CIN,17,23,4,2017,1
400950235,MIN,SF,31,32,4,2017,1
400950242,ATL,JAX,7,13,5,2017,1
400951828,BUF,DET,17,27,5,2017,1
400950239,GB,LAR,10,24,5,2017,1
400951253,IND,CIN,6,7,5,2017,1
400951272,NYJ,PHI,10,16,5,2017,1
400950236,NE,NYG,38,40,5,2017,1
400951273,TB,WSH,10,13,5,2017,1
400951269,CAR,PIT,14,17,5,2017,1
400951822,CHI,CLE,0,25,5,2017,1
400950237,MIN,MIA,9,30,5,2017,1
400950238,NO,BAL,13,14,5,2017,1
400951831,KC,TEN,6,30,5,2017,1
400951800,DEN,ARI,2,30,5,2017,1
400953307,OAK,SEA,13,17,5,2017,1
400950240,SF,LAC,13,23,5,2017,1
400951825,HOU,DAL,0,0,5,2017,1
400951566,NE,KC,27,42,1,2017,2
400951567,BUF,NYJ,12,21,1,2017,2
400951570,CHI,ATL,17,23,1,2017,2
400951572,CIN,BAL,0,20,1,2017,2
400951574,CLE,PIT,18,21,1,2017,2
400951576,DET,ARI,23,35,1,2017,2
400951584,TEN,OAK,16,26,1,2017,2
400951592,WSH,PHI,17,30,1,2017,2
400951580,HOU,JAX,7,29,1,2017,2
400951597,LAR,IND,9,46,1,2017,2
400951601,GB,SEA,9,17,1,2017,2
400951605,SF,CAR,3,23,1,2017,2
400951608,DAL,NYG,3,19,1,2017,2
400951581,MIA,TB,0,0,1,2017,2
400951612,MIN,NO,19,29,1,2017,2
400951615,DEN,LAC,21,24,1,2017,2
400951620,CIN,HOU,9,13,2,2017,2
400951632,IND,ARI,13,16,2,2017,2
400951636,KC,PHI,20,27,2,2017,2
400951639,NO,NE,20,36,2,2017,2
400951643,PIT,MIN,9,26,2,2017,2
400951645,TB,CHI,7,29,2,2017,2
400951630,CAR,BUF,3,9,2,2017,2
400951635,JAX,TEN,16,37,2,2017,2
400951626,BAL,CLE,10,24,2,2017,2
400951669,OAK,NYJ,20,45,2,2017,2
400951666,LAC,MIA,17,19,2,2017,2
400951673,DEN,DAL,17,42,2,2017,2
400951674,LAR,WSH,20,27,2,2017,2
400951676,SEA,SF,9,12,2,2017,2
400951679,ATL,GB,23,34,2,2017,2
400951681,NYG,DET,10,24,2,2017,2
400951568,SF,LAR,39,41,3,2017,2
400951579,JAX,BAL,7,44,3,2017,2
400951583,BUF,DEN,16,26,3,2017,2
400951590,CHI,PIT,17,23,3,2017,2
400951594,DET,ATL,26,30,3,2017,2
400951599,IND,CLE,28,31,3,2017,2
400951604,MIN,TB,17,34,3,2017,2
400951607,NE,HOU,33,36,3,2017,2
400951611,NYJ,MIA,6,20,3,2017,2
400951616,PHI,NYG,24,27,3,2017,2
400951587,CAR,NO,13,34,3,2017,2
400951623,TEN,SEA,27,33,3,2017,2
400951627,GB,CIN,24,27,3,2017,2
400951634,LAC,KC,10,24,3,2017,2
400951644,WSH,OAK,10,27,3,2017,2
400951668,ARI,DAL,17,28,3,2017,2
400951678,GB,CHI,14,35,4,2017,2
400950241,MIA,NO,0,20,4,2017,2
400951685,ATL,BUF,17,23,4,2017,2
400951712,CLE,CIN,7,31,4,2017,2
400951716,DAL,LAR,30,35,4,2017,2
400951724,MIN,DET,7,14,4,2017,2
400951727,NE,CAR,30,33,4,2017,2
400951730,NYJ,JAX,20,23,4,2017,2
